,DESCRICAO
564,LTC - INTELIGENCIA ARTIFICIAL: UMA ABORDAGEM DE APRENDIZADO DE MAQUINA - FACELI/L
565,Mamão
566,HASTE 06.0x70mm
567,2023 - CONVERGENCIAS GEOGRAFIA 8 ANO
568,PNLD 2023 Obj1 - A Conquista - Arte - LA - 1o ano 0133P23040001LE - L 0133P23040001LE
569,LINGUICA SUINA DEFUMADA
570,LC REFEICAO ALMOCO
571,REAGENTE BILIRRUBINA DIR REV 320T (DIM)
572,CLORETO DE POTASSIO P.A. 1000GR (6 - 123)
573,"FOSFORO COM CONTROLES, CALIBRADORES E ACESSORIOS"
574,GASOLINA ADITIVADA
575,BANANA PRATA
576,LIVRO QUAD MAT TEC TRI SEQ LA PNLD21 OB2
577,Hidroxido de Sodio Microperolas PA ACS 1Kg
578,NOBREAK XNB 720VA-BI - INTELBRAS - 4822010
579,6147-3-105 #BANDEJA PROVAS DE ENSAIO TRIDENTE
580,MEIO DE CULTURA BACTEC STANDARD ANAEROB x 50 un
581,"UVA PASSAS, 200GR"
582,OLEO 15W40 MOTOR
583,MILHO VERDE
584,PALHETA PD22 DIANT. ESPECIFICA PD2
585,SUPORTE NOTEBOOK AC376
586,ARCHITECT VITAMINA D - REAGENTE 100 T
587,PASTILHA ADESIVA LAVANDA SANY C/3UN
589,OLEO DIESEL B S10 ADITIVADO
590,EMBREAGEM VISCOSA
591,ACIDO TARTARICO-L PA 1KG 99.00 %
592,Gelo Seco - kg
593,ECI CONTROLE P/ANTI HEPATITE
594,FARINHA DE MANDIOCA
595,CABO P/ PA DE LIXO/DESENT
597,"MS 170 Motosserra,30cm 12 ,61PMM3"
599,FECHADURA ZAMAC ALAVANCAACO INOX
600,GAS TETRAFLUORMETANO 134a
601,FILTRO DE AR MOTOR
602,ARANDELA JR/TARTARUGA
603,PARAFLU CONCENTRADO
604,COLOCADOR ENXERTO DO AFASTADOR CASPAR 1 RA: 10243070032 LT: 125641/18
606,FEIJAO DEBULHADO VERDE
607,"AGULHA DESC. ESTERIL 13 x 4,5 COM 100 UNID - BD"
609,TOMATE CEREJA KG
610,MASSA P/ LASANHA PCT 500G
611,CABO COBRE ISOL. FLEX. 25MM 1KV (PRETO)
612,TONER OKIDATA MPS5501B/5502MB PRETO 36K
614,SABONETE LIQUIDO REFIL
615,CONDENSADORA 15 TR CARRIER 220V 38EXD15226S O.C.: 2021NE001226
616,"AXIAL DIRECAO ECOSPORT - JARB0109 GTIN 7897483471174 TT:(R$25,30)"
617,FEIJAO PRETO
618,SERINGA P/ INSULINA 01ML S/ AGULHA LS - MEDIX
619,LEGUMINOSA - LENTILHA MARRON - 500 g
620,VALVULA ITO R16
621,OCLUSOR ADOII 3MMX6MM
622,RESPIRADOR PFF 2 SEM VALVULA
623,"CONDIMENTO INNATURA, ESPECIE ALHO, TIPO NACIONAL"
624,Pao Careca 50gr pre-assado e congelado
625,CRUZETA CARDAN
626,ELEMENTO DO FILTRO DE AR
627,"UVA PASSAS, EMBALAGEM 200GR"
628,TUPAN ASSENTO PLASTICO CALYPSO
629,"CADE? ACHOU! EDUCAR, CUIDAR E BRINCAR NA ACAO PEDAGOGICA DA CRECHE"
630,"TRR45W - CARTUCHO P/ GRAMPEADOR ENDOSCOPICO CORTANTE DESCARTAVEL OLTRAMED L-QJ2CCC14A,V:04/01/27,F:05/01/22,ANVISA:81425"
631,MAÇÃ
632,BALSAMO DO CANADA 100ML
633,ESSÊNCIA DE BAUNILHA
634,SISTEMA COMP.DE DRENAGEM TORACICA A
635,SACO ALVEJADO AZUL(45X70CM/108G)MARTIMPANOS R-1040
636,IDENT EM ACAO UM MUN 0179P21201133IL
637,FITA ADESIVA CREPE 18X50M
638,BANANA CATURRA KG
639,2023 - RUMOS DA ARTE 9 ANO
641,42651030E #PARAFUSO BLOQUEADO DIAM3.5 30MM
642,MK-7339 OLAPARIBE 100MG 32CP
643,ALFACE
644,"ITEM COMPRA: 00062 - REAGENTE PARA DIAGNOSTICO CLINICO 6, TIPO CONJUNTO COMPLETO, TIPO DE ANALISE QUANTITATIVO DE ANTI-D"
645,PASTILHA DE FREIO
646,FILTRO COMBUSTIVEL
647,ACEM ATENDIMENTO CRF
648,LIMPA VIDROS DUVALI 5L
649,INFUSOMAT COMPACT 100 240V
651,LEITE DE COCO
652,Rucula Kg
653,PLACA CONTROLADORA UTILIZADA EM EQUIPAMENTO ARCO CIRURGICO
654,BROCA CANULADA 11MM
655,ORÉGANO 1KG
656,MONIT HP P22A G4 FHD BRZL 3Y0Q1AA#AC4 HP
657,"CJ PNLD 2023 COLECAO ENTRELACOS VOL 1,2,5 MAT EFAI PROF 0127P23020 - M 0127P23020"
658,Repolho branco
659,8V51/ 18D543/AA/ FILTRO POLEN
661,PARAFUSO CORTICAL AUTO ROSQUEANTE 4.5X36M ACO 9720C18
662,SINVASTATINA 20MG SINVASTON C/500
663,MODELADOR RETORCEDOR DE PLACAS 20J000475
664,INSÍGNIA DE OMBRO PLATINA CONTRA ALMIRANTE MD
665,INHAME DA COSTA (PRIMEIRA)
666,VALVULA P/ DESCARGA MATERIAL LATAO CROMADO 1/2POL APLICACAO MICTORIO COM CICLO DE 4 A 10 SEGUNDOS
667,OUTROS/CONJUNTO TOMADA 2PT 10A 250V PLBRANCO
668,BISCOITO PIT STOP INTEGRAL MARILAN 162G
669,LENTE LANTERNA TRASEIRA
670,Extrator de Grampo Carbrink Espatula Aco Inoxidavel
671,"PÃO, BASE FARINHA DE TRIGO REFINADA, TIPO SEMI-DOCE, TIPO CACHORRO QUENTE"
672,INFINITY COMP. DE POLIETILENO TAM 3 12 M
673,GAS ONU 1075 GLP 21
674,CRANIOPLATE PINCA PARA CORTAR PLACA
675,GUIA DE PROVA FEM GEN II T 5 E
676,"Anticorpo Oligofrenina-1 - FR/100UL, Cod. CELL-11939S-100UL"
677,ROSCA - NIVELADORA (PISO REGULAVEL)
678,"AREIA - RM ESMALTE AC P 3,2L CORAL P"
679,MONITOR DE VIDEO LCD
680,BUR MAIS A4 0027P23060004LE
681,FLASH FK-X
682,"2023 - SE LIGA NA LINGUA: LEITURA,PRODUCAO DE TEXTO E LINGUAGEM 9 ANO"
683,PACOM DPF NOVO BRASAO - PROMASP
684,"AZEITONA PRETA SEM CAROCO, EMB C/ 2 KG"
685,ESPACADOR P/PISOS PCT C/100 2MM CORTAG
687,MANGA TOMI
688,"LUVA CIRURGICA ESTERIL 8,5 MAXITEX"
690,IBUVIX 600MG CX 30 COMP
691,DESINFETANTE GIRANDO SOL 500ML LIMAO
693,BR JET A PLUS - L
694,TELA SOLDADA NERVURADA 20X20 EQ045 LEVE BITOLA 3.4 2X3M
695,CABO FLEXIVEL 750V 70G PVC 1MM2 VM
696,BULK PRODULTO INTERMEDIARIO
697,PEPINO
698,AGUA 20 LITROS - UND
699,SC LX PRETO 15 LTS 25X50X006 PCT C 100UN AFP
700,AVGAS .100 - LI
701,24588463 - FILTRO OLEO
702,ITEM 68 - FACA LAMINA INOX CABO POLICARBONATO 8 P/ CORTAR CARNE. ORIGINAL
703,SACO DE LIXO VERMELHO 100 LTS
704,NOVASOURCE SENIOR BAUNILHA 1L SF
705,ORTHOTEL LUXO P52 02700X1880X1380
706,ÁLCOOL ETÍLICO
707,Estabilizador TS Shara POWEREST 300VA/300W Entrada
709,"BRASILIENSE | QUE E LEITURA, O - VOL.74 - COLECAO PRIMEIROS PASSOS | Ed: 31997"
710,ANTICORPO ANTI CD45 HUMANO FITC 100 TESTES Lote:B354431 Validade:10/11/2028
711,DV_Dewar_D250Z_Helium
712,ELETRODO BIPOLAR TIPO ALCA DE RESSECCAO 02 POLOS - DIAMETRO 24 FR
713,Talisman 200 Ec C.tox.ii Reg.m.a.018107 Onu2903
714,ARRUELA LISA 07.0mmx03.6mm
715,PNLD 2023 Obj1 - A Conquista - Arte - LA - 4o ano 0130P23060004LE - L 0130P23060004LE
716,SABAO EM PO KLIP 1KG
717,PESSEGO EM CALDA LATA
718,SIST. SINALIZACAO MODULAR FLEX PLANO PERFIL ANODIZADO 93 MM DESLIZANTE - FASO2093
720,BALANCA DE PRESSAO FABRICANTE: PRESSUREMETS - MOD. P3125-3 NSo 68316 - ATIVO: 1104
721,"VARETA PONTA CINZA SOLDA TIG 1,6 mm CX C/ 10 ud"
722,CARTUCHO DE TONER KYOCERA TK5232-C CYAN
723,AROMAT AEROSOL 400ML
724,PIMENTAO
726,"COD. SINAPI - 12128 - INTERRUPTOR SIMPLES 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4' X 2' (CAIXA + MODULO"
727,"FERMENTO , TIPO QUIMICO , APRESENTACAO PO 250GR"
728,Bloco Adesivo Note Fix 3M 76X102mm Amarelo
729,ABOBORA MORANGA
730,COIFA LADO CAMBIO
731,ARROZ PARBOILIZADO AMBONI TP 1
732,5532-G-216 #MODELO TRIATHLON PS X3 TAM. 2 16MM SIST ARTROP JOELHO TRIATHLON PS N CIM
733,2023 - ARARIBA MAIS - CIENCIAS 8 ANO
734,ERVILHA CONSERVA LATA 2KG
735,ENDOMARLEX RECARGA TRISIZE ARTI ROXA 45MM
736,RESINA OPUS BULK FILL FLOW FGM 2GRS A3
737,LIV_ANYTIME! ALWAYS READY FOR EDUCATION_PNLD_AL
738,STENT COVERA PLUS VASC 8F 6/60/1200MM S OUS
739,"ASSENTO SANITARIO DE PLASTICO, TIPO CONVENCIONAL. REF. SINAPI 377"
740,MOLHO INGLES DE 900 ML
741,TOMATE CEREJA
742,Geleia de Banana
743,BUCHA P/ PARAFUSO NYLON No 12
744,BOMBA HIDRAULICA
745,HBS AB III 2X50 TEST - 194777 - 24/10/22
746,OLEO DIESEL MARITIMO A
748,2023 - CIENCIAS VIDA UNIVERSO 8 ANO
749,Cafe em Po 3 Coracoes Tradicional Vacuo PCT 500g
751,MANUSEIO/PERSO-CARTAO HIDRIDO IDENTIDADE DA MARINHA DO BRASIL C/CHIP
752,Mouse Optico Dell MS116 Preto
753,Oxigenio Liquido Caminh Tanque
754,ROLO/LA/CARNEIRO 23CM S/CABO
755,Viagens Pelos Rios Amazonas e Madeira
756,ABACAXI EM CALDA TRIANGULO LATA 400G
757,ALFACE CRESPA
758,Melao Kg
759,AVAYA SCOPIA PWR CORD 250V 1.83M BRAZIL
761,LIMPA PISOS UAU 750ML PORC./CERAMICAS
762,"EXTENSOR INFUSÃO VASCULAR TIPO P/ BOMBA INJETORA CONTRASTE VIAS 2 VIAS, MATERIAL POLIMERO COMPRIMENTO CERCA 25CM,"
763,DOSATAXEL 80 MG SOL INJ
764,Envelope Saco GPK Kraft Natural 176x250mm PCT 10UN
765,DIESEL S10
766,"PARAF. PDR 03,0x8,0x34mm SELF TAPING/SELF DRILLING"
767,CAFE DAMASCO TRAD.VACUO 500G
768,PRESUNTO
769,ALICATE BC LONGO 6 PRIX 70/6
770,SALSAO
771,ARQUIVO MORTO OF. PAPELAO PCT. C/10UN.
772,JUNTA
773,HORTIFRUTIGRANJEIROS/BATATA DOCE
774,MATERIAL P/MANUTENÇÃO DE VEÍCULOS
775,CROCANTISSIMO PULLMAN PEITO PERU
776,OVO BRANCO
777,HORTIFRUTIGRANJEIROS/COENTRO
778,BROCA 6MM
779,ELEMENTO FILTRANTE
780,FILTRO DE AR 9
781,ADUBO 00-25-15 GR PARANAIBA
782,MANTEIGA COM SAL 500 G
783,Abaixa Lingua Weider - T/22
784,AGULHA DESCARTAVEL ESTERIL 25X7 C/ PROTECAO
785,OLEO 15W40
786,PARACHOQUE
787,JUNTA COLETOR ESCAPE 03025039L
788,LAMINA LABORATORIO
789,"HASTE FEMORAL CM 10MMX40CM, 125CCD, DIR,"
790,"PARAFUSO CORTICAL 2,7X24 MM TIT.             - Lote: 4225I14"
791,MAX DETERGENTE BOMBONA
792,JUNTA DE VEDACAO CONF. DES. TECNICO A4-0165 MRT 120
793,"MINI PARAFUSO VERSA TORXDRIVE TI 0 2,4mm x 10,0mm"
794,TRINCHA 4'
796,AMIDO DE MILHO APTY 01 KG
797,QUEROSENE DE AVIACAO JET A
798,"ABACAXIS FRESCOS - Descascado, cortado e congelado - pacote"
799,"REPUBLICA DOS SABERES ARTE, CIENCIA, UNIVERSIDADE E OUTRAS FRONTEIRAS"
800,HAMBURGUER CARNE BOVINA
801,"MFONT - REGRAS DO METODO SOCIOLOGICO, AS - DURKHEIM 4 Ed 2014"
803,"Caneta Esferografica Compactor Economic 1,0mm Vermelha"
805,CREME DE LEITE KG
806,"CHAPA OFF SET 1030X770X0,30(mm)X(50 PCS)"
807,REVESTIMENTO
809,BARRA CEREAL
810,ALFACE
811,PARAFUSO CORTICAL AUTO ROSQ. 2.7X26MM ACO
812,"COENTRO, ESPECIE COMUM - MACO"
813,PNLD2021 MULTIV LINGUA PORTUGUESA - VOL. UNICO - ME
814,MILHO VERDE MINAS MAIS LATA 170G
815,Placa de vidro
817,CRX - CEFUROXIMA 30MCG 50UN/FRASCO - CECON
818,REDE PLACA PCIEX GIGABIT MYMAX
819,FECHADURA EXTER
820,POLVILHO DOCE PCT 1 KG
821,Acucar Refinado Uniao 1kg
822,LIV TAKE ACTION! PNLD/21 AL/PR
823,SABONETE LIQUIDO 5L
824,CEREJA EM CALDA
825,"Sarrafo Nao Aparelhado Macaranduba 2,5 x 10cm"
827,PARABRISA
828,RAIZ DE MANDIOCA
829,BRACADEIRA FIXACAO
830,GASOLINA COMUM
831,ABOBRINHA
832,JG CABO VELAS PALIO 1.4 SIENA 1.0 8V FIRE
833,Sorvete KIBON Chicabon Palito 28X60ML/62G
834,Pilha Recarregavel AAA 1300 mAh Flex FX-AAA13B2 2UN
835,STONEX S9
836,CENOURA
837,MACAXEIRA
838,AMEIXA
839,DIALOGO INGLES 0144P21093130IL
841,PARAFUSO PED. MONOAXIAL PEDIMAX II 08.0x45mm
842,"PARAFUSO F. CHATA 4,2X38"
843,"FLASHLIMP PANO ESPONJA 3UN 17,5X19,5CM"
845,PACOM DPF NOVO BRASAO - PROMASP
846,GUIA DE CORTE PATELAR 10MM
847,"CAT CHUP GALAO 3,300"
848,"408310 - INTROD LONGO DEFL 8,5FR 71CM MED AGILISLote: 7846676"
849,CHICOTE DO CHASSI
851,NK650D BIOLOX DELTA CABECA PROT1214 36MM S ITEM 20 SEQ 004
852,MANGA
853,CORTINA ROLO COM BLACKOUT
854,NDRINK COMPACT PROT CAPUC (4XPB125ML)
855,BANDEJA
856,LAMPADA LED 9W
857,IOG PIA CREM NATURAL 800G
858,LAMPADA FAROL H7 12V 55W MARELLI
859,LACO NYLON
860,"FOLHETO NAO TECNICO, MATERIAL COUCHE, TIPO FLYER, MEDIDA 10,5 X 15 CM, GRAMATURA 150G, TIPO 4/0"
861,BLOCO SEP DE PLUG
862,2023 - ENGLISH AND MORE ! 9 ANO
863,REFRIGERANTE SABOR COLA LATA
864,Manteiga extra sem sal
865,ESPAÇADOR
866,"PARAFUSO OSSEO - MINI E MICRO FRAGMENTOS, MATERIAL TITANIO, TIPO CORTICAL, BLOQUEIO"
868,OLEO ATF PETRONAS TUTELA
869,LAMPADA 24V 5W VOLKSWAGEM 26 420
870,"Caneta Esferografica Compactor Economic 1,0mm Vermelha"
871,MANG.FLEX.C/ENG.1/215M.VD
872,JANTAR
873,MAMAO FORMOSA
874,Agua mineral 20 Litros - UFPR
875,BROCOLIS COMUM
876,MASCARA LARINGEA LMA UNIQUE 2.0
877,MOUSE USB OPTICO MULTILASER MO312
878,"Stent Coronario com Liberacao localizada de Rapamicina FIREHAWK - Referencia RV3513-3,5 mm x 13 mm"
879,JUNTA DE CARBONO
880,SACO P/LIXO 200LT PRETO R2 PCT C/05UND
881,"(006 /190) GARRA JACARE VERMELHA 2,50CM"
882,VASSOURA USO GERAL PERFECT PRO PRETA C/CABO
883,REFRIGERANTE LATA SABOR COLA 350ML
884,GUIA BROCA 5.2MM 140X57.5X11MM L: 150009388 ANVISA N : 80082910144
885,SAPONACEO CREMOSO LIMAO PERFECT CLEAN 300ML
886,SOPRADOR TER STV1800 DIGITAL 220V VONDER
887,PRECISION REPOSICAO N.3 POSTERIOR C/20UN
888,MASCARA DESCARTAVEL USO GERAL - Marca: DESCARBOX
890,BURITI MAIS INTER 2 0091P19363002IL
891,PROTEINA C REATIVA (BIO 800 - 50 ML)
892,PROTESE VALV.ORG.BIOL.PER.BOV.NR.31 M 8387-121048 VAL.:22.08.2026 Reg. Anvisa: 10159030026
893,FILTRO COMBUSTIVEL
894,CAPACETE KYT TT COURSE PLAIN MATT BLACK M
895,ALHO EM CABECA
896,FARINHA DE TRIGO 1KG -
897,(ONU 0029 DETONADORES NAO ELETRICOS PARA DEMOLICAO - 1.1B) RETARDO 30MS   (B)
898,DIASORIN LIAISON PM KIT 6 MONTHS (BANCADA)
899,SALSICHA CONG RARA AVIVAR CX20KG(4X5)
900,GELATINA SORTIDA - CELLI - 1KG - REFIL (FD C/ 10)
902,BANANA
903,"LIVRO didatico, Grau educacao inf, definicao colecacao interdisciplinar, conteudo lingua Portuguesa"
904,BOMBA DE LUBRIFICAÇÃO DA CAIXA - SN: 108
905,FILTRO DE OLEO DE MOTOR
906,ENGLISH AND MORE 0170P21093130IL
907,PLACA PARA CLAVICULA 06 FUROS DIREITA TIT
908,FORNO ELETRICO 50L 220V NX50/FE5012PT NARDELLI/SUGGAR
909,CEBOLA BRANCA
910,ABOBORA
911,"PATELA TODA EM PET, 35 MM X 9,"
914,2022-APIS INTERDISCIPLINAR 4 ANO ? 2022
915,PERNAMANCA UNIDADE
916,NCEUP3006X -CATETER BALAO NC TROCA RAPIDA P/DILAT/ANGIO EUPHORA NC 3.00 x 06MM
918,Fita Adesiva Scoth 3M 50mmX50m
919,AFASTADOR RICHARDSON MEDIO
920,Bandeira Oficial do Brasil 135 x 193
921,COXIM AMOR SUSP DIANT L/ESQ DP7244
922,"ARAME COBREADO P/ MIG - 0,8MM - RL C/ 15 KG E SUPORTE EM PLASTICO"
924,GARFO ROLO TIGRE 23CM 1301 *
925,"INSERTO ARTICULAR LPS-FLEX EF 7-10, 14MM"
926,DIESEL B S-10 ORIGINAL
927,ANASTROZOL 1 MG COM REV BL 30 Subst.: ANASTROZOL Temp 15 a 30 C Lab. EUROFARMA
928,COXAO DURO BOV RESF FRIBOI
929,MACA
930,LIVRO SP A VOZ JUV LP VU LA PNLD 21 OB2
931,PARAF ACET TRILOGY 6.5 X 35MM
932,FILTRO AR FIAT ARL4154 G.SIENA/PALIO 12)
933,BOMBA DE INFUSAO EQUIPO SAMTRONIC ICATU
934,Grampo BRW Galvanizado 26/6 CX 5000UN
935,CLIP TITANIO STAND. CURVO 12mm
936,TRUXIMA 500 MG
937,LINGUICA CALABRESA
939,SISTEMA DE GERAÇÃO DE ENERGIA SOLAR FOTOVOLTAICA
940,"TECLADO ALFANUMERICO DE 107 TECLAS, PADRAO PTBR, APLICACAO EM MAQUINA DE PROCESSAMENTO DE DADOS, KB216, EAN CODE 789986"
941,Suporte Metalico Traseiro Para Montagem em Monitor
942,AZEITONA PRETA VIDRO
944,PAO PLUS VITA CASTANHA F.GRAOS 350 G
945,LASERTERAPIA PORTATIL LASERMMO
946,CONECTOR EXTENSAO OXIGENIO/ CATETER Ser.: 33 x1
947,OVOS GRAND AGRA IKEDA CL
948,GASOLINA C
949,"MANTA TERMICA ALUMINIZADA ADU 2,10X1,40CM - FP 4002"
950,FEIJAO PRETO
951,CALCO
952,ARMARIO ALTO 2 PORTAS 3 PRATELEIRAS CONFECCIONADO EM MDF - MARCA MARANELLO
953,DETERGENTE ENZIMATICO
954,AMORTECEDOR ACLA 100X80 (TIPO A)
955,DIETA ESPECIAL  ALMOCO
956,COCO RALADO COM 1 KG
957,302-04 - PINCA DE REDUCAO BACKHAUSAO 21CM
958,"Meio de cultura, apresentacao liquido, caracteristica adicional Aerobiose para automacao, componentes adicionais com ini"
959,"REFRIGERANTE SUKITA PET 2l, LARANJA"
960,Dell Networking Transceiver SFP 1000BASE-SX 850nm Wavelength 550m Alcance
961,FRALDA DESC.GERIATRICA TAM.P C/10(MASTERSOFT)
962,C BV MIOLO ALCATRA CG PLENA +-25KG
963,CHOCOLATE EM PO 1 KG
964,BATATA DOCE
965,MASSA PARA PASTEL
966,KCL GRANULADO NPK 00-00-60 EP RS-003316-2 000040
967,23111AG040LE\ARRUELA
968,BATERIA CR2032 CARTELA  C/ 5 UNIDADES
969,2023 - CIENCIAS NATURAIS APRENDENDO COM O COTIDIANO 8 ANO
970,PAO FRANCES 50GR
972,UNIDADE EVAPORADORA TETO 36K Q/F VS
973,Molho Madeira KG
975,ALFACE LISA IN NATURA KG
976,SV1 SUPORTE DE SORO 2 ESTAGIOS MM017
977,RACAO OPERACIONAL DE COMBATE - R2 (CARDAPIO 04)
978,PNEU 195/60R/15
979,PARAFLU USO ORGANICO DILUIDO GZ2670
980,CX COPO COPAZA 150ML P/ AGUA C/ 2500 TRANSLUCIDO
981,POLPA DE CAJU
982,ANESTESICO BENZOTOP TUTTI-FRUTI DFL
983,"PIPERACILINA+TAZOBACTAM 4,5G/GENERICO CX 10 IV EUROFARMA"
984,2020 - ESTUDO DO CALOR - OPTICA GEOMETRICA - FENOMENOS ONDULATORIOS
985,SACO PLASTICO P/ LIXO 100 LITROS
986,PROVA FEMORAL DIREITO CR G
987,CILINDRO RODA TRAS
989,CERA BECKER ACRILICA 5L
990,1020-2727 #127 DEG 27MM NECK TRIAL
992,FLOCOS DE MILHO
993,"Broca baixa rotacao, tipo: contra angulo, material: aco inoxidavel, formato: esferica, tipo corte: corte regular, tipo h"
995,338650 #PARAF ACO SPS CORTIT 03.5 X 50
996,PONTEIRA S/ FILTRO 100-1000UL TIPO GILSON AZUL OLEN - 500UND
997,"PARAFUSO CANULADO R. PARCIAL 3,0 X 24MM - Lote:0510/15 - Valid:31/12/2049 - Anvisa:80163430004 - Ref.: MM-212.24"
998,INHAME IN NATURA
999,ELECSYS CLEANCELL
1000,Fita Adesiva Alltape 48mmX50m Transparente
1001,"Mouse (Indicador) Optico Dell MS116, Conexao USB, Preto, Com Fio, EAN Code 7899864908842"
1003,STENT ZILVER DE DESENHO VASCULAR ZFV6-125-8-10.0
1004,Coentro Kg
1006,"VENDA DE CARIMBO ACRILICO, TAMANHO ÁREA DE IMPRESSÃO 47MMX18MM, TIPO AUTOMÁTICO."
1007,FILTRO SEDIMENTADOR
1008,CAPACITOR 40 MF
1009,FILTRO DE AR
1010,TESTE DA BANDEJA TIBIAL TAM 3
1011,AGUA SANITARIA 5 LT SUPER GLOBO/CLORAL
1012,OLEO HAV 5W30 SYNTETIC
1014,"MOTOCOMPRESSOR CMI-7,6/24BR 220V"
1016,JG DE TAPETES DE BORRACHA
1017,Mamao Formosa Kg
1018,CUBA GAST.INOX - 1/1 -150 mm - 53x325
1019,JET A NAO TABELADO - LI
1020,PLACA RETA 2.7 DCP 06 FUROS
1021,LAPIS DE CERA
1022,PALHETA LIMP. DIANT. 22 SILICONE
1023,"TAMPA, TERMINAL"
1024,BATATA 25KG
1025,Batata Inglesa
1026,RAIZ DE MANDIOCA AIPIM COM CASCA
1027,CANO DE COBRE DE 1/2
1028,"OPHTCOL (CLORETO DE CARBACOL 0,01%)"
1029,SULFA+TRIMETOPRIMA INJ TRISSULMAX 50ML - DECHRA
1030,"TINTA ESMALTE SINTETICO PRETO - GL 3,6L (ONU 1263, GE III, No. Risco: 3)"
1031,Acucar Cristal Uniao 1kg
1032,PREGO COM CABECA CORPO LISO PONTA COMUM BITOLA 13 X 18
1033,BANANA PRATA
1034,OLEO DIESEL B S10 - COMUM
1035,BATATA DOCE
1036,Couve manteiga Kg
1037,PINO PORTA SUP/INF
1038,PACOM DPF NOVO BRASAO - PROMASP
1039,UMIDIFICADOR OX 320 MORIYA - P/N 500.740
1040,CAMINHO DESDE A ESTRUTURA - 2.
1041,HASTE UMERAL 7MM MINI
1042,PANO DE COPA XADREZ 40X70CM
1043,LEITE DESNATADO FERMENTADO C/6 UND
1044,UVA
1045,POLPA DE GOIABA
1046,Detector optico de fumaca end. DFE 521
1047,TROCARTE WUZBURT INSTR CMF III
1048,PRATICAS COMENTADAS PARA INSPIRAR
1049,BALA TIPO GOMA
1050,UNIAO 32
1051,BISCOITO SALGADO CANTINHO DOCE
1052,JT FLANGE 1' >
1053,MALUQUINHO DE FAMILIA
1054,ETANOL COMUM
1055,TESTE FEMORAL LPS TAM C. ESQUERDO
1056,CALDO DE GALINHA 57 GR
1057,Filtro de Papel Melitta No103 30UN
1058,1020-9000 #BANDEJA SINGLE ACCOLADE
1059,GLP
1060,Base magnética para relógios comparadores
1061,ABBOTT RT HIV 1 CONTROLE
1062,"Tubo de raio-x OP SL, rep."
1063,QUIABO
1064,CARNE BOVINA DE PRIMEIRA SEM OSSO
1065,SEXTANTE | PRECISO SABER SE ESTOU INDO BEM! | Ed: 12005
1066,"FRESA FLEXIVEL 0 12,5 x 500"
1067,MCGB - GESTAO ESTRATEGICA DA TECNOLOGIA E DA INOVACAO - CONCEITOS E SOLUCOES - BUR
1068,TERMINAL
1069,FILTRO OLEO XRE
1071,"MT-02-C-MICROTUBO, PCR,200UL, TAMPA FLAT, FREE DNASE RNASE -CX C/1000 -PED:2022NE2393"
1072,Trincha Media Cabo Preto 2' 301-005
1073,QUEROSENE DE AVIACAO JET A
1074,LIQUIDIFICADOR BRITANIA DIAMANTE 800  220V
1075,O ENSINO DE GEOGRAFIA EM PAUTA - LIVRO 6
1076,BATERIA DE 12 V 150 A
1077,PROTRUDED LINER I D 36 LARGE LOTE:2205856
1078,INSETICIDA
1079,PÃES VARIADOS (50G)
1080,+ FUROSEMIDA 40MG 25X20 CPS-VP / GEN FUROSEMIDA
1081,HORTIFRUTIGRANJEIROS/RUCULA
1082,IMPRESSORA MULT LASER KYOCERA M2535DN
1083,ANEL DE VEDACAO-O
1084,CEBOLA KG CEASA
1085,DOCE DE LEITE
1086,"CADE? ACHOU! EDUCAR, CUIDAR E BRINCAR NA ACAO PEDAGOGICA DA CRECHE"
1087,CADEADO MATERIAL LATÃO MACIÇO 60MMX40 MM
1088,POLPA DE ACAI
1089,Caneta Marca Texto BRW Flourescente Laranja
1090,BANANA ORGANICA
1091,PLSS-1007 -INTRODUTOR PARA ELETRODO PRELUDE 7FR PLSS-1007
1092,"TUBO PVC SOLDÁVEL, APLICAÇÃO SANITÁRIA, COR BRANCA, DIÂMETRO NOMINAL 75MM, COMP 6M, COMP BOLSA 70MM"
1093,SUCO CONCENTRADO LIQUIDO PARA REFRESCO SABOR LARANJA COM CEL - 5 LITROS
1094,OVOS BRANCO
1095,SUPORTE PARA BURETA HASTE DE 50CM BASE PLANA
1096,ACIDO AMINOBENZOICO-4 250G
1097,JUNTA COLETOR ESCAPAMENTO
1098,SERINGA DESC. SR S/AG 5 ML LL SR
1099,GLP EM BOTIJAO DE 45 KG
1100,VIRABREQUIM STIHL FS160/220/280/FR220
1101,MARG QUALY CREM C/SAL 250g
1102,JOGO DE BUCHA INFERIOR
1103,EXTRATO DE TOMATE 340 GR
1104,"Futuro Antecipado, O - Volume 4 - 2021"
1105,ANTI-RETRATO
1106,Irrigador giratorio plastico Trapp 3 jatos
1107,BUCHA DE VALGO FEMORAL 6A. ORT
1108,"VERNIZ PARA MADEIRA CEREJEIRA GALAO DE 3,6 L"
1109,CATETER BALAO 3.0 X 150MM X 150CM                           -Lote:056287 -Valid:03/08/2023 -Anv:10413960187
1110,2030-6520-1 #PARAFUSO ESPONJOSO 6.5 MM / 20 MM
1111,DETERGENTE NEUTRO 500ML LIMPA FACIL
1112,IOGURTE
1114,Refeicao Araras
1115,COUVE MANTEIGA
1116,FILE DE PEITO DE FRANGO SEM PELE  kg
1117,PO PUDIM BAUNILHA KG
